,KE0 0 battery,KE0 1 battery,KE0 2 battery,KE0 3 battery,KE0 4 battery,KE0 5 battery,KE0 6 battery,KE0 7 battery,KE0 8 battery,KE1 0 battery
140,62887438.76516623,62914386.88033955,62913635.143358484,62894981.13902401,62940372.436353914,62920064.60868723,62923650.59396455,62909555.411470406,62887428.938200906,63069271.78749257
141,62887438.76516622,62914386.88033954,62913635.14335847,62894981.139024004,62940372.4363539,62920064.60868722,62923650.59396453,62909555.4114704,62887428.93820089,63069120.22630854
142,62887438.76516621,62914386.88033954,62913635.14335846,62894981.13902399,62940372.43635391,62920064.60868722,62923650.59396454,62909555.4114704,62887428.93820088,63068926.938972116
143,62887438.76516621,62914386.88033954,62913635.14335846,62894981.13902399,62940372.4363539,62920064.60868723,62923650.59396454,62909555.411470406,62887428.93820089,63068774.08290547
144,62887438.76516621,62914386.88033954,62913635.14335846,62894981.13902399,62940372.43635391,62920064.60868723,62923650.59396453,62909555.4114704,62887428.93820089,63068623.92299499
145,62887438.76516621,62914386.88033954,62913635.14335846,62894981.139023975,62940372.43635391,62920064.60868724,62923650.59396454,62909555.411470406,62887428.93820089,63068495.858163916
146,62887438.76516621,62914386.88033954,62913635.14335846,62894981.139023975,62940372.436353914,62920064.60868724,62923650.59396453,62909555.411470406,62887428.93820088,63068805.39675465
147,62887438.765166216,62914386.88033955,62913635.14335847,62894981.13902399,62940372.43635392,62920064.60868724,62923650.59396454,62909555.4114704,62887428.93820089,63069114.9353454
148,62887438.76516622,62914386.88033955,62913635.14335847,62894981.13902398,62940372.43635392,62920064.60868724,62923650.59396454,62909555.4114704,62887428.93820089,63069424.47393613
149,62887438.765166216,62914386.88033954,62913635.14335846,62894981.139023975,62940372.436353914,62920064.60868723,62923650.593964525,62909555.41147038,62887428.93820088,63069282.17643117
150,62887438.765166216,62914386.88033954,62913635.143358454,62894981.139023975,62940372.436353914,62920064.60868723,62923650.593964525,62909555.41147039,62887428.93820088,63069093.57535363
151,62887438.76516622,62914386.88033955,62913635.14335845,62894981.13902398,62940372.43635392,62920064.60868723,62923650.59396453,62909555.41147039,62887428.93820088,63068941.25628806
152,62887438.765166216,62914386.880339555,62913635.143358454,62894981.13902398,62940372.43635392,62920064.60868724,62923650.59396453,62909555.4114704,62887428.93820089,63068791.09637758
153,62887438.76516622,62914386.88033955,62913635.14335846,62894981.13902398,62940372.436353914,62920064.608687244,62923650.59396454,62909555.41147039,62887428.93820089,63068665.80302171
154,62887438.76516623,62914386.880339555,62913635.14335846,62894981.13902398,62940372.436353914,62920064.60868724,62923650.59396454,62909555.41147039,62887428.93820089,63068975.34161244
155,62887438.76516623,62914386.88033956,62913635.14335848,62894981.13902399,62940372.43635393,62920064.60868725,62923650.59396454,62909555.411470406,62887428.93820089,63069284.88020319
156,62887438.76516623,62914386.88033956,62913635.14335848,62894981.13902398,62940372.43635393,62920064.60868725,62923650.59396453,62909555.411470406,62887428.93820089,63069594.418793924
157,62887438.76516622,62914386.880339555,62913635.14335846,62894981.13902397,62940372.436353914,62920064.60868724,62923650.593964525,62909555.41147039,62887428.93820088,63069451.46156184
158,62887438.76516622,62914386.88033956,62913635.14335847,62894981.139023975,62940372.43635392,62920064.60868724,62923650.593964525,62909555.4114704,62887428.93820088,63069262.960340045
159,62887438.76516622,62914386.880339555,62913635.14335847,62894981.13902397,62940372.436353914,62920064.60868724,62923650.593964525,62909555.4114704,62887428.938200876,63069105.427180834
160,62887438.76516622,62914386.880339555,62913635.14335848,62894981.139023975,62940372.43635391,62920064.60868724,62923650.59396453,62909555.411470406,62887428.938200876,63068950.92757785
161,62887438.765166216,62914386.88033955,62913635.14335848,62894981.139023975,62940372.43635391,62920064.60868723,62923650.59396453,62909555.411470406,62887428.938200876,63068813.38432213
162,62887438.76516622,62914386.88033955,62913635.14335848,62894981.139023975,62940372.43635391,62920064.60868723,62923650.59396453,62909555.411470406,62887428.93820088,63069122.922912866
163,62887438.76516622,62914386.88033956,62913635.143358484,62894981.13902398,62940372.436353914,62920064.60868723,62923650.59396454,62909555.41147042,62887428.93820088,63069432.46150361
164,62887438.765166216,62914386.880339555,62913635.14335848,62894981.13902398,62940372.436353914,62920064.60868722,62923650.59396455,62909555.41147041,62887428.93820089,63069742.00009435
165,62887438.76516621,62914386.88033955,62913635.14335846,62894981.139023975,62940372.436353914,62920064.608687215,62923650.59396454,62909555.411470406,62887428.93820088,63069611.763188586
166,62887438.7651662,62914386.88033955,62913635.143358454,62894981.139023975,62940372.43635391,62920064.60868721,62923650.59396453,62909555.41147041,62887428.93820088,63069418.21849031
